,,chisqr,redchi,_val,init_value,stderr,correl
0,86,106.61648805796469,0.7725832467968455,"['0.742', '2.28', '3.65']","['0.497', '2.43', '3.07']","['1.18', '0.964', '3.7']","[{'tau1': '0.992', 'tau2': '0.994'} {'A1': '0.992', 'tau2': '0.972'}
 {'A1': '0.994', 'tau1': '0.972'}]"
0,87,109.70155986013486,0.7949388395661947,"['0.148', '0.0047', '2.77']","['0.497', '2.43', '3.07']","['0.0163', '0.109', '0.0464']","[{'tau1': '0.00101', 'tau2': '0.802'}
 {'A1': '0.00101', 'tau2': '0.000799'} {'A1': '0.802', 'tau1': '0.000799'}]"
0,88,114.00427920701043,0.8444761422741514,"['0.576', '1.62', '3.64']","['0.497', '2.43', '3.07']","['0.168', '0.237', '0.589']","[{'tau1': '0.924', 'tau2': '0.971'} {'A1': '0.924', 'tau2': '0.815'}
 {'A1': '0.971', 'tau1': '0.815'}]"
0,89,125.88469802310898,0.9056453095187696,"['0.744', '2.23', '3.8']","['0.497', '2.43', '3.07']","['1.45', '1.31', '5.47']","[{'tau1': '0.996', 'tau2': '0.997'} {'A1': '0.996', 'tau2': '0.987'}
 {'A1': '0.997', 'tau1': '0.987'}]"
0,90,119.24707484790667,0.8641092380283092,"['0.734', '2.28', '3.62']","['0.497', '2.43', '3.07']","['1.87', '1.43', '5.84']","[{'tau1': '0.995', 'tau2': '0.997'} {'A1': '0.995', 'tau2': '0.986'}
 {'A1': '0.997', 'tau1': '0.986'}]"
0,91,104.70520876543982,0.7698912409223516,"['0.727', '2.22', '3.79']","['0.497', '2.43', '3.07']","['1.91', '1.65', '7.05']","[{'tau1': '0.997', 'tau2': '0.999'} {'A1': '0.997', 'tau2': '0.992'}
 {'A1': '0.999', 'tau1': '0.992'}]"
0,92,111.49227819774282,0.8079150594039335,"['0.58', '2.17', '3.5']","['0.497', '2.43', '3.07']","['4.23', '3.95', '8.42']","[{'tau1': '0.999', 'tau2': '1'} {'A1': '0.999', 'tau2': '0.998'}
 {'A1': '1', 'tau1': '0.998'}]"
0,93,105.31624677902823,0.7631612085436829,"['0.697', '2.19', '3.76']","['0.497', '2.43', '3.07']","['1.6', '1.53', '5.1']","[{'tau1': '0.997', 'tau2': '0.998'} {'A1': '0.997', 'tau2': '0.991'}
 {'A1': '0.998', 'tau1': '0.991'}]"
0,94,111.95932514560361,0.8355173518328628,"['0.18', '0.644', '2.88']","['0.497', '2.43', '3.07']","['0.0422', '0.301', '0.0919']","[{'tau1': '0.7', 'tau2': '0.913'} {'A1': '0.7', 'tau2': '0.494'}
 {'A1': '0.913', 'tau1': '0.494'}]"
0,95,121.41200706522439,0.873467676728233,"['0.716', '2.27', '3.59']","['0.497', '2.43', '3.07']","['1.54', '1.2', '4.35']","[{'tau1': '0.993', 'tau2': '0.996'} {'A1': '0.993', 'tau2': '0.979'}
 {'A1': '0.996', 'tau1': '0.979'}]"
